Time,F_Scale,Location,County,State,Lat,Lon,Comments
1853,UNK,1 SW OAKWOOD,WALSH,ND,48.42,-97.31,(FGF)
1917,UNK,4 ENE GRAFTON,WALSH,ND,48.44,-97.32,NARROW TORNADO TRACKED INTERMITTENTLY FOR ABOUT 2 MILES TO AROUND 2 NE OF GRAFTON BY ABOUT 225PM CDT. (FGF)
2118,UNK,3 W INDEPENDENCE,MONTGOMERY,KS,37.23,-95.77,BRIEF TOUCHDOWN. (ICT)
2315,UNK,MINEOLA,MONTGOMERY,MO,38.89,-91.57,TORNADO SPOTTED NEAR MINEOLA HEADING TOWARDS NEW FLORENCE (LSX)
2317,UNK,1 E FLOYD,FLOYD,IA,43.13,-92.72,BRIEF TOUCHDOWN AT 160TH AND PACKARD AVE (ARX)
2330,UNK,2 W BELLFLOWER,MONTGOMERY,MO,39,-91.39,TORNADO REPORTED 2 MILES WEST OF BELLEFLOWER REPORTED BY MISSOURI HIGHWAY PATROL (LSX)
2330,UNK,5 NE MONTGOMERY CITY,MONTGOMERY,MO,39.03,-91.44,MONTGOMERY CITY POLICE REPORTED A TORNADO JUST NORTHEAST OF MONTGOMERY CITY (LSX)
0055,UNK,1 SW WELDON SPRING,ST. CHARLES,MO,38.71,-90.66,TORNADO APPEARS TO DAMAGE STRUCTURE IN THE MISSOURI RESEARCH PARK. (LSX)
0105,UNK,MARYLAND HEIGHTS,ST. LOUIS,MO,38.72,-90.48,ROOF REMOVED AT HOLLYWOOD CASINO (LSX)
0105,UNK,2 S HARVESTER,ST. CHARLES,MO,38.73,-90.58,TORNADO PASSED THROUGH 1.5 MILES WEST OF THE INTERSECTION OF TOWERS ROAD AND CAUKSHIILL ROAD.. THERE ARE NUMEROUS TREES DOWN ROOF DAMAGE TO SEVERAL HOMES IN THIS AREA. (LSX)
0105,UNK,HARVESTER,ST. CHARLES,MO,38.75,-90.58,DAMAGE TO FIRE STATION ON JUNG STATION ROAD SOUTH OF HIGHWAY 94...1 UNJURY POSSIBLE...MANY TREES BLOWN DOWN. (LSX)
0110,UNK,MARYLAND HEIGHTS,ST. LOUIS,MO,38.72,-90.48,UNCPECIFIED DAMAGE TO THE HOLLYWOOD CASINO (LSX)
0110,UNK,BRIDGETON,ST. LOUIS,MO,38.77,-90.43,3-4 OUT BUILDINGS AT LAMBERT FIELD DESTROYED (LSX)
0115,UNK,BRIDGETON,ST. LOUIS,MO,38.77,-90.43,3 FOOT DIAMETER TREE SNAPPED....LOTS OF 10 INCH DIAMETER LIMBS DOWN...AND MULTIPLE STREET SIGNS DOWN NEAR ST CHARLES ROCK ROAD AND HWY 270. TIME ESTIMATED FROM RADAR. (LSX)
0125,UNK,WATOVA,NOWATA,OK,36.62,-95.66,NUMEROUS SPOTTER REPORTS OF A TORNADO IN THE WATOVA AREA. TREE DAMAGE AND DAMAGE TO A HOME REPORTED. TIME ESTIMATED VIA RADAR. (TSA)
0133,UNK,WOOD RIVER,MADISON,IL,38.86,-90.08,TORNADO ON THE GROUND IN THE WOOD RIVER AREA. (LSX)
0144,UNK,HARTFORD,MADISON,IL,38.83,-90.09,TORNADO TOUCHDOWN IN HARDFORD. BUILDING WAS DESTROYED ALONG HIGHWAY 3. (LSX)
0150,UNK,ALHAMBRA,MADISON,IL,38.89,-89.73,TWO TRACTOR TRAILERS WERE BLOWN ON THEIR SIDE ON INTERSTATE 55. (LSX)
