Time,Speed,Location,County,State,Lat,Lon,Comments
2130,UNK,1 W SAWGRASS MILLS MALL,BROWARD,FL,26.15,-80.33,TREE FELL INTO VEHICLE ON NW 22ND COURT IN SUNRISE. (MFL)
0000,UNK,ST. MARTINVILLE,ST. MARTIN,LA,30.12,-91.83,TWO TREES DOWNED ON CYPRESS ISLAND HIGHWAY. (LCH)
0029,58,1 N GOODLAND,SHERMAN,KS,39.36,-101.71,VISIBILITY 3 MILES WITH BLOWING DUST (GLD)
0030,64,6 SW CHEYENNE,ROGER MILLS,OK,35.55,-99.75,(OUN)
0430,UNK,LOUP CITY,SHERMAN,NE,41.28,-98.97,TREE DAMAGE AND POWER OUTAGES IN LOUP CITY (GID)
0508,58,MCCOOK,RED WILLOW,NE,40.2,-100.62,(GLD)
