Time,Speed,Location,County,State,Lat,Lon,Comments
2229,UNK,CHATSWORTH,LIVINGSTON,IL,40.75,-88.29,NUMEROUS TREES BEING REPORTED DOWN. A SEMI WAS REPORTED FLIPPED OVER. (LOT)
2230,UNK,4 NW MAPLETON,AROOSTOOK,ME,46.72,-68.22,SEVEN TREES UPROOTED IN CASTLE HILL ALONG RICHARDSON RD UP TO ABOUT TWO FEET IN DIAMETER (CAR)
2232,UNK,PIPER CITY,FORD,IL,40.76,-88.19,REPORTS OF PINE TREES UPROOTED AND DOWNED POWER LINES. (LOT)
2245,UNK,1 S MERCER,IRON,WI,46.15,-90.06,TREES DOWN BLOCKING HIGHWAY. 3 FIRES CAUSED BY DOWNED POWER LINES. (DLH)
2245,UNK,PRESQUE ISLE,AROOSTOOK,ME,46.68,-68.02,TREE DOWN NEAR THE HIGH SCHOOL AND THREE SEPARTE REPORTS OF WIRES DOWN AROUND TOWN. (CAR)
2249,70,3 WSW LAKE CARL BLACKWE,PAYNE,OK,36.12,-97.24,(OUN)
2250,UNK,12 E PHILLIPS,PRICE,WI,45.7,-90.15,PINE TREE DOWN (DLH)
2254,70,CHAUTAUQUA,CHAUTAUQUA,KS,37.02,-96.18,DELAYED REPORT...NICKEL HAIL ALSO REPORTED. (ICT)
2330,65,MOUNT AYR,NEWTON,IN,40.95,-87.3,NUMEROUS BRANCHES DOWN,POWER POLES LEANING. (LOT)
0000,UNK,HAWK POINT,LINCOLN,MO,38.97,-91.13,POWER LINES BLOWN DOWN (LSX)
0008,58,3 NNW STILLWATER,PAYNE,OK,36.16,-97.08,(OUN)
0010,60,4 W OKLAHOMA CITY,OKLAHOMA,OK,35.47,-97.58,(OUN)
0017,60,TROY,LINCOLN,MO,38.98,-90.98,(LSX)
0020,73,4 W OKLAHOMA CITY,OKLAHOMA,OK,35.47,-97.58,(OUN)
0020,UNK,1 NNE WYANDOTTE,WAYNE,MI,42.23,-83.15,AT GODDARD AND BIDDLE 8 INCH TREE BRANCHES DOWN- GLOBES BLOWN OFF STREET LAMPS - BRIEF POWER OUT (DTX)
0038,70,CEDAR VALE,CHAUTAUQUA,KS,37.11,-96.5,(ICT)
